User/Repo                              Type Commit_ID    Last_Commit Host                                                      Version
aur-archive/mutt-android-patch         git  2928965      2015-08-17  https://github.com/aur-archive/mutt-android-patch         1.5.21
aur-archive/mutt-bare-hg               git  df06812      2015-08-17  https://github.com/aur-archive/mutt-bare-hg               1.5.21
aur-archive/mutt-great-dane            git  55215c2      2015-08-17  https://github.com/aur-archive/mutt-great-dane            1.5.21
aur-archive/mutt-ignore-thread         git  9975a89      2015-08-17  https://github.com/aur-archive/mutt-ignore-thread         1.5.21
aur-archive/mutt-kz-dgc-git            git  c4142f5      2015-08-17  https://github.com/aur-archive/mutt-kz-dgc-git            1.5.23?
aur-archive/mutt-patchy                git  6002938      2015-08-17  https://github.com/aur-archive/mutt-patchy                1.5.20
aur-archive/mutt-pgp-verbose-mime      git  c49643e      2015-08-17  https://github.com/aur-archive/mutt-pgp-verbose-mime      1.5.22
aur-archive/mutt-rfc2047               git  ab961c8      2015-08-17  https://github.com/aur-archive/mutt-rfc2047               1.5.21
aur-archive/mutt-sendbox               git  616a710      2015-08-17  https://github.com/aur-archive/mutt-sendbox               1.5.21
aur-archive/mutt-sidebar-nntp          git  560b06c      2015-08-17  https://github.com/aur-archive/mutt-sidebar-nntp          1.5.20
aur-archive/mutt-sidebar-trash         git  42bb670      2015-08-17  https://github.com/aur-archive/mutt-sidebar-trash         1.5.21
aur-archive/mutt-tokyo-sidebar         git  993dc25      2015-08-17  https://github.com/aur-archive/mutt-tokyo-sidebar         1.5.23
aur-archive/mutt-trash                 git  0fca60f      2015-08-17  https://github.com/aur-archive/mutt-trash                 1.5.21
aur-archive/mutt-trash-nntp            git  7957ce0      2015-08-17  https://github.com/aur-archive/mutt-trash-nntp            1.5.19
aur-archive/mutt-trash-purge           git  a8edd86      2015-08-17  https://github.com/aur-archive/mutt-trash-purge           1.5.23
aur-archive/mutt-xlabel                git  bf647a9      2015-08-17  https://github.com/aur-archive/mutt-xlabel                1.5.23
aur-archive/mutt-xtermtitle            git  70cd2a1      2015-08-17  https://github.com/aur-archive/mutt-xtermtitle            1.5.20
aur-archive/uber-mutt                  git  e6f1cb9      2015-08-17  https://github.com/aur-archive/uber-mutt                  1.5.21
cam13/mutt                             git  19439d3      2014-03-24  https://github.com/cam13/mutt                             1.5.22
chadversary/pkgs.rpm.mutt-kz           git  7706b82      2013-03-16  https://github.com/chadversary/pkgs.rpm.mutt-kz           1.5.21?
codito/muttng-patchset                 git  fa0f669      2010-12-30  https://github.com/codito/muttng-patchset                 1.5.21?
dctrwatson/mutt-gmail-patch            git  9466d75      2012-03-16  https://github.com/dctrwatson/mutt-gmail-patch            1.5.21?
dgc/mutt-dgc                           hg   3d473d9d349c 2015-05-11  https://bitbucket.org/dgc/mutt-dgc                        1.5.23
diabolicalMdog/mutt-spellcheck-subject git  14f523c      2014-01-28  https://github.com/diabolicalMdog/mutt-spellcheck-subject 1.5.20
evgeni/fedora-mutt-patched             git  92348f9      2015-12-21  https://github.com/evgeni/fedora-mutt-patched             1.5.24
freddix/mutt                           git  19874e0      2014-10-13  https://github.com/freddix/mutt                           1.5.23
gooselinux/mutt                        git  3244469      2011-12-01  https://github.com/gooselinux/mutt                        1.5.20
